Month,Borough,Community District (CD),Borough Consultation Total SNAP Recipients,Borough Consultation Total SNAP Households,Borough Consultation Total Cash Assistance Recipients,Borough Consultation Total Cash Assistance Cases,Borough Consultation Total Medicaid Only Enrollees,Borough Consultation Total Medicaid Enrollees
09/01/2019,Manhattan,M09,"20,553","13,569","4,665","2,917","9,086","19,580"
09/01/2019,Manhattan,M10,"30,031","19,299","7,975","4,984","10,986","26,868"
09/01/2019,Manhattan,M11,"39,946","25,173","9,937","6,019","15,156","36,892"
09/01/2019,Manhattan,M12,"42,565","29,289","6,109","4,036","22,160","40,977"
09/01/2019,Queens,Q01,"20,911","12,642","3,832","2,272","16,501","25,314"
09/01/2019,Queens,Q02,"10,066","6,364","1,632","1,071","11,766","15,365"
09/01/2019,Queens,Q03,"21,923","12,716","2,558","1,633","24,159","30,002"
09/01/2019,Queens,Q04,"23,221","13,626","2,500","1,647","26,312","32,822"
09/01/2019,Queens,Q05,"16,601","9,792","1,805","1,185","14,310","19,114"
09/01/2019,Queens,Q06,"9,450","6,680",741,533,"8,422","12,249"
09/01/2019,Queens,Q07,"24,753","16,435","3,426","2,375","33,192","42,480"
09/01/2019,Queens,Q08,"16,530","10,122","2,877","1,855","15,599","22,369"
09/01/2019,Queens,Q09,"19,604","11,469","2,850","1,788","15,852","22,634"
09/01/2019,Queens,Q10,"14,837","9,019","2,252","1,361","11,383","16,791"
09/01/2019,Queens,Q11,"6,427","4,371",764,538,"9,342","11,593"
09/01/2019,Queens,Q12,"40,884","25,104","9,296","5,630","23,525","41,575"
09/01/2019,Queens,Q13,"18,259","11,836","3,559","2,304","13,860","21,442"
09/01/2019,Queens,Q14,"27,559","15,003","7,575","3,475","11,978","28,144"
09/01/2019,Staten_Island,S01,"34,943","18,614","10,651","4,987","15,949","35,422"
09/01/2019,Staten_Island,S02,"13,633","8,100","2,375","1,341","11,483","17,547"
09/01/2019,Staten_Island,S03,"9,591","6,136","1,231",744,"8,324","11,956"
12/01/2019,Bronx,B01,"41,728","22,758","12,552","6,647","13,236","37,069"
12/01/2019,Bronx,B02,"20,343","11,299","6,326","3,266","5,978","18,183"
12/01/2019,Bronx,B03,"39,004","21,484","12,206","6,434","11,463","34,216"
12/01/2019,Bronx,B04,"51,190","28,742","14,726","7,600","17,959","45,593"
12/01/2019,Bronx,B05,"49,830","27,485","15,522","8,051","15,748","43,217"
12/01/2019,Bronx,B06,"36,902","20,086","13,271","6,631","9,566","32,901"
12/01/2019,Bronx,B07,"42,103","24,237","12,231","6,529","15,569","38,235"
12/01/2019,Bronx,B08,"15,151","9,150","3,133","1,647","8,164","15,570"
12/01/2019,Bronx,B09,"48,932","27,147","13,153","6,634","19,269","44,752"
12/01/2019,Bronx,B10,"16,891","10,396","3,516","1,858","8,535","16,473"
12/01/2019,Bronx,B11,"22,177","13,061","5,406","2,941","10,785","22,450"
12/01/2019,Bronx,B12,"34,989","19,265","12,130","6,060","12,248","33,104"
12/01/2019,Brooklyn,K01,"49,148","19,579","6,433","2,445","31,808","44,587"
